coverage_scope,source_table_number,release_id,period_code,period,period_end,estat_sid,taxonomy,aggregation_level,industry_code,industry_name,parent_major_code,parent_major_name,capital_size_code,capital_size_name,capex_including_current_oku_yen,capex_including_previous_oku_yen,capex_including_yoy_delta_oku_yen,capex_excluding_current_oku_yen,capex_excluding_previous_oku_yen,capex_excluding_yoy_delta_oku_yen,software_capex_current_oku_yen,software_capex_previous_oku_yen,software_capex_yoy_delta_oku_yen,software_capex_yoy_pct,software_capex_yoy_status,prior_base_status,is_direct_published_series,derivation_method,software_contribution_pct_to_all_net_change,software_contribution_status,prior_value_share_of_all_pct,prior_value_share_status,gross_positive_scope,gross_positive_yoy_delta_oku_yen,share_of_gross_positive_pct,positive_share_status
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,leaf,ALL,104,全産業（除く金融保険業）,,,26,全規模,188063.9,187975.12,88.77999999999884,165661.68,168004.32,-2342.640000000014,22402.22,19970.79999999999,2431.420000000013,12.174875317964307,CALCULABLE,POSITIVE_BASE,False,capex_including_software minus capex_excluding_software; not a directly published series,100.0,CALCULABLE,100.0,CALCULABLE,ALL,2431.420000000013,100.0,CALCULABLE
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,leaf,CAPITAL,104,全産業（除く金融保険業）,,,19,1千万円以上 - 1億円未満,36991.94,35963.66,1028.2799999999988,33094.4,33850.23,-755.8300000000017,3897.540000000001,2113.4300000000003,1784.1100000000006,84.41774745319222,CALCULABLE,POSITIVE_BASE,False,capex_including_software minus capex_excluding_software; not a directly published series,73.37728570135934,CALCULABLE,10.58260059687144,CALCULABLE,CAPITAL,2431.4200000000164,73.37728570135923,CALCULABLE
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,leaf,CAPITAL,104,全産業（除く金融保険業）,,,24,1億円以上 - 10億円未満,35237.91,37159.82,-1921.9099999999962,30602.99,32611.65,-2008.6599999999999,4634.920000000002,4548.169999999998,86.75000000000364,1.907360542811798,CALCULABLE,POSITIVE_BASE,False,capex_including_software minus capex_excluding_software; not a directly published series,3.567873917299487,CALCULABLE,22.774100186271962,CALCULABLE,CAPITAL,2431.4200000000164,3.5678739172994813,CALCULABLE
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,leaf,CAPITAL,104,全産業（除く金融保険業）,,,25,10億円以上,115834.05,114851.64,982.4100000000035,101964.29,101542.44,421.84999999999127,13869.76000000001,13309.199999999997,560.5600000000122,4.211823400354731,CALCULABLE,POSITIVE_BASE,False,capex_including_software minus capex_excluding_software; not a directly published series,23.054840381341325,CALCULABLE,66.64329921685663,CALCULABLE,CAPITAL,2431.4200000000164,23.05484038134129,CALCULABLE
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,leaf,INDUSTRY,109,食料品製造業,108,製造業,26,全規模,5752.58,5598.37,154.21000000000004,5416.72,5258.34,158.3800000000001,335.8599999999997,340.02999999999975,-4.170000000000073,-1.2263623797900358,CALCULABLE,POSITIVE_BASE,False,capex_including_software minus capex_excluding_software; not a directly published series,-0.17150471740793655,CALCULABLE,1.702635848338574,CALCULABLE,INDUSTRY,3727.509999999996,0.0,NON_POSITIVE_COMPONENT
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,leaf,INDUSTRY_X_CAPITAL,109,食料品製造業,108,製造業,19,1千万円以上 - 1億円未満,1994.59,1754.69,239.89999999999986,1940.68,1685.26,255.42000000000007,53.909999999999854,69.43000000000006,-15.52000000000021,-22.353449517499925,CALCULABLE,POSITIVE_BASE,False,capex_including_software minus capex_excluding_software; not a directly published series,-0.6383101233024375,CALCULABLE,0.34765758006689823,CALCULABLE,INDUSTRY_X_CAPITAL,4390.050000000003,0.0,NON_POSITIVE_COMPONENT
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,leaf,INDUSTRY_X_CAPITAL,109,食料品製造業,108,製造業,24,1億円以上 - 10億円未満,1593.93,1699.48,-105.54999999999995,1553.87,1628.41,-74.54000000000019,40.06000000000017,71.06999999999994,-31.009999999999764,-43.63303785000674,CALCULABLE,POSITIVE_BASE,False,capex_including_software minus capex_excluding_software; not a directly published series,-1.2753863997170214,CALCULABLE,0.3558695695715744,CALCULABLE,INDUSTRY_X_CAPITAL,4390.050000000003,0.0,NON_POSITIVE_COMPONENT
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,leaf,INDUSTRY_X_CAPITAL,109,食料品製造業,108,製造業,25,10億円以上,2164.06,2144.2,19.860000000000127,1922.17,1944.67,-22.5,241.88999999999987,199.52999999999975,42.36000000000013,21.22989024206896,CALCULABLE,POSITIVE_BASE,False,capex_including_software minus capex_excluding_software; not a directly published series,1.742191805611532,CALCULABLE,0.9991086987001015,CALCULABLE,INDUSTRY_X_CAPITAL,4390.050000000003,0.9649092834933565,CALCULABLE
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,leaf,INDUSTRY,110,繊維工業,108,製造業,26,全規模,835.01,1062.61,-227.5999999999999,752.51,1002.6,-250.09000000000003,82.5,60.00999999999988,22.490000000000123,37.4770871521416,CALCULABLE,POSITIVE_BASE,False,capex_including_software minus capex_excluding_software; not a directly published series,0.9249738835742078,CALCULABLE,0.30048871352174134,CALCULABLE,INDUSTRY,3727.509999999996,0.6033518354075549,CALCULABLE
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,leaf,INDUSTRY_X_CAPITAL,110,繊維工業,108,製造業,19,1千万円以上 - 1億円未満,313.79,475.78,-161.98999999999995,284.26,463.15,-178.89,29.53000000000003,12.629999999999995,16.900000000000034,133.80839271575647,CALCULABLE,POSITIVE_BASE,False,capex_including_software minus capex_excluding_software; not a directly published series,0.6950670801424659,CALCULABLE,0.06324233380735876,CALCULABLE,INDUSTRY_X_CAPITAL,4390.050000000003,0.38496144690835005,CALCULABLE
